CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	Name Relations	Paper Relations	Context Type	Concept Relations Type	Pct Common Relations	Num Available	Concept Relation	ID Relation	Num Relations
C0037772	C3496228	Spastic Paraplegia	"Leukodystrophy, Dysmyelinating, And Spastic Paraparesis With Or Without Dystonia"	21054	18391	88											
C0030567	C1851920	Parkinson Disease	Dopa-Responsive Dystonia	73702	488	88											
C0020598	C0342345	Hypocalcemia	Hypoparathyroidism - autosomal dominant	14799	162	87											
C0029463	C0085390	Osteosarcoma	Li-Fraumeni Syndrome	33353	1216	87											
C0022387	C2676723	Jervell-Lange Nielsen Syndrome	JERVELL AND LANGE-NIELSEN SYNDROME 2	264	87	87											
C0023467	C0085110	"Leukemia, Myelocytic, Acute"	Severe Combined Immunodeficiency	73162	7990	87											
C0039373	C0268276	Tay-Sachs Disease	Juvenile GM 2 gangliosidosis	1787	133	87											
C0007758	C1853116	Cerebellar Ataxia	"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 8"	15849	96	87											
C0403440	C1567743	Thin basement membrane disease	"Alport Syndrome, Autosomal Dominant"	358	2106	87											
C0028326	C0346429	Noonan Syndrome	Multiple malignancy	2113	215327	87											
C0268274	C4310891	"Gangliosidoses, GM2"	"GM2-GANGLIOSIDOSIS, LATE ONSET"	1749	91	87											
C0018021	C1291299	Goiter	Deficiency of iodide peroxidase	37728	429	87											
C0030421	C1527405	Paraganglioma	Erythrocytosis	23102	14085	87											
C0023522	C4017091	"Leukodystrophy, Metachromatic"	ARYLSULFATASE A PSEUDODEFICIENCY	1544	106	86											
C0687120	C3151186	Nephronophthisis	NEPHRONOPHTHISIS 12	745	86	86											
C1704380	C1969038	Distal Renal Tubular Acidosis	"RENAL TUBULAR ACIDOSIS, DISTAL, WITH HEMOLYTIC ANEMIA"	4034	86	86											
C0751278	C4017091	"Metachromatic Leukodystrophy, Infant"	ARYLSULFATASE A PSEUDODEFICIENCY	1544	106	86											
C0013902	C0520739	"Elliptocytosis, Hereditary"	Hereditary pyropoikilocytosis	804	112	86											
C1261473	C1835398	Sarcoma	LI-FRAUMENI SYNDROME 1	167461	454	86											
C0005283	C1527405	beta Thalassemia	Erythrocytosis	14284	14085	86											
C0007115	C0238198	Malignant neoplasm of thyroid	Gastrointestinal Stromal Tumors	67377	8324	86											
C3280265	C3714756	"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 18"	Intellectual Disability	145	97825	86											
C1527405	C3841475	Erythrocytosis	beta^+^ Thalassemia	14085	14284	86											
C4015874	C4017425	"HYPERLIPOPROTEINEMIA, TYPE III, ASSOCIATED WITH APOE2-FUKUOKA"	APOE2-FUKUOKA PHENOTYPE	304	491394	85											
C0013336	C0878683	Dwarfism	Pituitary Dwarfism Type 3	17277	85	85											
C0009402	C1336839	Colorectal Carcinoma	Type 1 Papillary Renal Cell Carcinoma	201452	2737	85											
C0000768	C0342384	Congenital Abnormality	Idiopathic hypogonadotropic hypogonadism	591498	337	85											
C1836024	C3845231	"MEPHENYTOIN, POOR METABOLISM OF"	Poor metabolizer	258	1006	85											
C0024141	C0796126	"Lupus Erythematosus, Systemic"	AICARDI-GOUTIERES SYNDROME 1	68503	382	85											
C0028754	C1843898	Obesity	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 4	294455	161	85											
C0549473	C1336839	Thyroid carcinoma	Type 1 Papillary Renal Cell Carcinoma	68555	2737	85											
C0009691	C0302254	Congenital cataract	Juvenile cataract	4934	510	85											
C0005684	C3469524	Malignant neoplasm of urinary bladder	"PROSTATE CANCER, SUSCEPTIBILITY TO"	59248	3698	85											
C0003873	C0029401	Rheumatoid Arthritis	Osteitis Deformans	140008	5130	85											
C0009952	C1096063	Febrile Convulsions	Drug Resistant Epilepsy	5067	4695	85											
C0027819	C0238462	Neuroblastoma	Medullary carcinoma of thyroid	39783	7190	85											
C0035334	C1863634	Retinitis Pigmentosa	Cone-Rod Dystrophy 7	10816	175	85											
C0035334	C1423873	Retinitis Pigmentosa	CONE-ROD DYSTROPHY 9	10816	151	85											
C0021655	C0024623	Insulin Resistance	Malignant neoplasm of stomach	113459	103330	85											
C0268312	C0268318	Progressive intrahepatic cholestasis	Cholestasis of pregnancy	1170	2082	84											
C0950121	C0950122	Denys-Drash Syndrome	Frasier Syndrome	294	156	84											
C0020479	C4015861	Hyperlipoproteinemia Type III	"HYPERLIPOPROTEINEMIA, TYPE III, ASSOCIATED WITH APOE2"	1143	84	84											
C0025362	C3150700	Mental Retardation	"MENTAL RETARDATION, AUTOSOMAL DOMINANT 20"	112283	84	84											
C1274215	C2677065	Autosomal recessive ichthyosis	"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 6"	638	84	84											
C0231303	C0393584	Distress	Benign Hereditary Chorea	115418	16885	84											
C4015861	C4015874	"HYPERLIPOPROTEINEMIA, TYPE III, ASSOCIATED WITH APOE2"	"HYPERLIPOPROTEINEMIA, TYPE III, ASSOCIATED WITH APOE2-FUKUOKA"	84	304	84											
C0346429	C4016397	Multiple malignancy	"CHRONIC MYELOID LEUKEMIA, RESISTANT TO IMATINIB"	215327	1436	84											
C0005684	C1336839	Malignant neoplasm of urinary bladder	Type 1 Papillary Renal Cell Carcinoma	59248	2737	84											
C0002312	C4017525	alpha-Thalassemia	"BETA-PLUS-THALASSEMIA, DOMINANT"	7139	223137	84											
C0007193	C0038644	"Cardiomyopathy, Dilated"	Sudden infant death syndrome	21868	11589	84											
C0025362	C0265326	Mental Retardation	Bannayan-Riley-Ruvalcaba Syndrome	112283	1822	84											
C0020678	C0028754	Hypotrichosis	Obesity	13599	294455	84											
C0007959	C0037772	Charcot-Marie-Tooth Disease	Spastic Paraplegia	4570	21054	84											
C0037772	C0270912	Spastic Paraplegia	"Charcot-Marie-Tooth Disease, Type Ib"	21054	4570	84											
C0001768	C0272236	Agammaglobulinemia	Hyperimmunoglobulin M syndrome	7575	384	84											
C0268635	C0342783	Acyl-CoA dehydrogenase deficiency	Deficiency of butyryl-CoA dehydrogenase	1646	83	83											
C0006142	C0030567	Malignant neoplasm of breast	Parkinson Disease	309961	73702	83											
C0026850	C0079295	Muscular Dystrophy	Epidermolysis Bullosa Herpetiformis Dowling-Meara	33784	831	83											
C0019569	C3150974	Hirschsprung Disease	"HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 3"	4704	83	83											
C0027707	C0241889	"Nephritis, Interstitial"	Family history	22264	117019	83											
C0027127	C0268445	Myotonia Congenita	Normokalemic Periodic Paralysis	1128	1475	83											
C0024437	C0339512	Macular degeneration	Bull's eye macular dystrophy	29421	97	83											
C0007115	C2674950	Malignant neoplasm of thyroid	"LUNG CANCER, SUSCEPTIBILITY TO"	67377	5827	83											
C0035334	C1846529	Retinitis Pigmentosa	CONE-ROD DYSTROPHY 10	10816	173	83											
C0029463	C0206624	Osteosarcoma	Hepatoblastoma	33353	3425	83											
C0026850	C0079298	Muscular Dystrophy	Epidermolysis Bullosa Simplex	33784	826	83											
C0001768	C0085584	Agammaglobulinemia	Encephalopathies	7575	600000	83											
C0042514	C0342579	"Tachycardia, Ventricular"	Electrolyte imbalance	37860	8646	83											
C0010273	C4016473	Craniofacial Dysostosis	"HYPOAGAMMAGLOBULINEMIA, X-LINKED"	5697	31425	83											
C0002726	C3468338	Amyloidosis	"CARPAL TUNNEL SYNDROME, FAMILIAL"	28634	269	83											
C0028326	C0150312	Noonan Syndrome	Present	2113	600000	83											
C0085584	C2674950	Encephalopathies	"LUNG CANCER, SUSCEPTIBILITY TO"	600000	5827	83											
C0008372	C0149521	Intrahepatic Cholestasis	"Pancreatitis, Chronic"	15090	20064	83											
C0085584	C0152171	Encephalopathies	Idiopathic pulmonary hypertension	600000	4458	83											
C0026850	C0079299	Muscular Dystrophy	Epidermolysis Bullosa Simplex Kobner	33784	826	83											
C0026850	C0080333	Muscular Dystrophy	Weber-Cockayne Syndrome	33784	831	83											
C0344432	C4053736	"Ventricular tachycardia, polymorphic"	Catecholaminergic Polymorphic Ventricular Tachycardia Type 1	2184	82	82											
C0271829	C1863752	Pendred's syndrome	Enlarged Vestibular Aqueduct	450	321	82											
C1291611	C3150730	Deficiency of glucose-6-phosphate isomerase	"HEMOLYTIC ANEMIA, NONSPHEROCYTIC, DUE TO GLUCOSE PHOSPHATE ISOMERASE DEFICIENCY"	203	96	82											
C0039292	C3165209	Tangier Disease	High density lipoprotein deficiency	742	119	82											
C0242383	C1858806	Age related macular degeneration	CONE-ROD DYSTROPHY 3	29421	365	82											
C0037771	C0162309	"Paraparesis, Spastic"	Adrenoleukodystrophy	3630	2255	82											
C1851920	C2676282	Dopa-Responsive Dystonia	"Dystonia, progressive"	488	1355	82											
C0011053	C0162361	Deafness	Hidrotic Ectodermal Dysplasia	39032	5832	82											
C0000768	C3898580	Congenital Abnormality	Loeys-Dietz Syndrome Type 2	591498	98	82											
C0023976	C1832916	Long QT Syndrome	Timothy syndrome	9236	125	82											
C0019562	C0032461	Von Hippel-Lindau Syndrome	Polycythemia	4082	14175	82											
C0000768	C0266468	Congenital Abnormality	Congenital pontocerebellar hypoplasia	591498	217	82											
C1867983	C2937358	"PORENCEPHALY, FAMILIAL"	Cerebral Hemorrhage	544	56330	82											
C0030567	C1843211	Parkinson Disease	"PARKINSON DISEASE 11, AUTOSOMAL DOMINANT"	73702	82	82											
C0031269	C1858438	Peutz-Jeghers Syndrome	"COLORECTAL CANCER, SUSCEPTIBILITY TO"	2377	6432	82											
C0004352	C3150677	Autistic Disorder	"AUTISM, SUSCEPTIBILITY TO, 16"	21522	150	82											
C2239176	C3469522	Liver carcinoma	"BREAST CANCER, SUSCEPTIBILITY TO"	130028	12696	82											
C0028326	C0151686	Noonan Syndrome	Growth retardation	2113	35291	82											
C0023976	C3150943	Long QT Syndrome	Long Qt Syndrome 2	9236	81	81											
C0238358	C3714580	Hypokalemic periodic paralysis	Hypokalemic periodic paralysis type 1	1022	81	81											
C0022387	C0035828	Jervell-Lange Nielsen Syndrome	Romano-Ward Syndrome	264	345	81											
C0021364	C3553793	Male infertility	SPERMATOGENIC FAILURE 10	45629	98	81											
C0271980	C0271990	beta^0^ Thalassemia	delta-Thalassemia	529	660	81											
C0079154	C3888093	Congenital Nonbullous Ichthyosiform Erythroderma	"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 2"	1097	154	81											
C1839606	C1839874	Low-molecular-weight proteinuria	Low Molecular Weight Proteinuria with Hypercalciuria and Nephrocalcinosis	720	81	81											
C0003486	C0392550	Aortic Aneurysm	"Hemiplegia, Infantile"	60865	14933	81											
C1408181	C3151356	Neuropathy (motor and sensory)	"MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION"	5798	112283	81											
C0152021	C0265264	Congenital heart disease	Holt-Oram syndrome	38751	424	81											
C0009402	C0011854	Colorectal Carcinoma	"Diabetes Mellitus, Insulin-Dependent"	201452	92179	81											
C0010674	C0878544	Cystic Fibrosis	Cardiomyopathies	49380	89623	81											
C0270851	C0751122	Benign neonatal epilepsy	Infantile Severe Myoclonic Epilepsy	570	4923	80											
C0339527	C2675186	Leber Congenital Amaurosis	LEBER CONGENITAL AMAUROSIS 13	931	80	80											
C0751122	C1843140	Infantile Severe Myoclonic Epilepsy	"SEIZURES, BENIGN FAMILIAL INFANTILE, 3"	4923	570	80											
C0220669	C0751122	Familial benign neonatal epilepsy	Infantile Severe Myoclonic Epilepsy	570	4923	80											
C0339527	C3151206	Leber Congenital Amaurosis	LEBER CONGENITAL AMAUROSIS 15	931	80	80											
C0005586	C3553943	Bipolar Disorder	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	48102	168719	80											
C0019621	C0027819	"Histiocytosis, Langerhans-Cell"	Neuroblastoma	10815	39783	80											
C0393702	C3502809	Myoclonic Astatic Epilepsy	Generalized Epilepsy with Febrile Seizures Plus	4919	218	80											
C0265216	C3151356	X-linked hydrocephalus syndrome	"MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION"	144	112283	80											
C0007193	C3152137	"Cardiomyopathy, Dilated"	LEFT VENTRICULAR NONCOMPACTION 3	21868	405	80											
C0010674	C0220983	Cystic Fibrosis	Metabolic alkalosis	49380	3276	80											
C0751122	C3502809	Infantile Severe Myoclonic Epilepsy	Generalized Epilepsy with Febrile Seizures Plus	4923	218	79											
C0021655	C0030567	Insulin Resistance	Parkinson Disease	113459	73702	79											
C1857720	C4017053	KALLMANN SYNDROME 4	HYPOGONADOTROPIC HYPOGONADISM 4 WITH ANOSMIA	197	113	79											
C0403440	C1567742	Thin basement membrane disease	"Alport Syndrome, X-Linked"	358	2064	79											
C0238157	C1567744	Benign hematuria	"Alport Syndrome, Autosomal Recessive"	1429	2094	79											
C0162809	C4017053	Kallmann Syndrome	HYPOGONADOTROPIC HYPOGONADISM 4 WITH ANOSMIA	855	113	79											
C0010054	C0376358	Coronary Arteriosclerosis	Malignant neoplasm of prostate	165082	120279	79											
C0034013	C1846223	Precocious Puberty	Adrenal hypoplasia	5742	6817	79											
C0007194	C1510472	Hypertrophic Cardiomyopathy	Drug Dependence	18881	297047	79											
C0007193	C0021655	"Cardiomyopathy, Dilated"	Insulin Resistance	21868	113459	79											
C0001080	C0010278	Achondroplasia	Craniosynostosis	2697	6837	78											
C0020445	C1260873	"Hypercholesterolemia, Familial"	Aortic valve disorder	8959	21735	78											
C0266432	C3668935	Leydig cell agenesis	"Luteinizing Hormone Resistance, Female"	87	78	78											
C0266432	C0860158	Leydig cell agenesis	Leydig Cell Hypoplasia	87	78	78											
C0028326	C0398794	Noonan Syndrome	Hypopigmentation-immunodeficiency disease	2113	600000	78											
C0004114	C0024623	Astrocytoma	Malignant neoplasm of stomach	37228	103330	78											
C0238157	C1567743	Benign hematuria	"Alport Syndrome, Autosomal Dominant"	1429	2106	78											
C0010278	C2674173	Craniosynostosis	"Achondroplasia, Severe, With Developmental Delay And Acanthosis Nigricans"	6837	2697	78											
C0549473	C1168401	Thyroid carcinoma	Squamous cell carcinoma of the head and neck	68555	7214	78											
C1449844	C4016946	"Pseudohypoaldosteronism, Type II"	"PSEUDOHYPOALDOSTERONISM, TYPE IID, AUTOSOMAL DOMINANT OR RECESSIVE"	770	66587	78											
C0007117	C0029463	Basal cell carcinoma	Osteosarcoma	26562	33353	78											
C0024305	C0206141	"Lymphoma, Non-Hodgkin"	Idiopathic Hypereosinophilic Syndrome	104075	5338	78											
C0520680	C3714756	"Sleep Apnea, Central"	Intellectual Disability	4600	97825	78											
C0242383	C0339526	Age related macular degeneration	Autosomal recessive retinitis pigmentosa	29421	1150	78											
C0028064	C0268242	Niemann-Pick Diseases	"Niemann-Pick Disease, Type A"	2766	79	77											
C0007115	C1336839	Malignant neoplasm of thyroid	Type 1 Papillary Renal Cell Carcinoma	67377	2737	77											
C2675188	C4016669	Kallmann Syndrome 6	HYPOGONADOTROPIC HYPOGONADISM 6 WITHOUT ANOSMIA	172	111	77											
C0079301	C0079474	Junctional Epidermolysis Bullosa	Hallopeau-Siemens Disease	786	1183	77											
C1846223	C2751824	Adrenal hypoplasia	"46, XY Disorders of Sex Development"	6817	4103	77											
C0410190	C0686353	Autosomal Dominant Emery-Dreifuss Muscular Dystrophy	"Muscular Dystrophies, Limb-Girdle"	719	1891	77											
C0013575	C0014527	Ectodermal Dysplasia	Epidermolysis Bullosa	5832	5786	77											
C1704429	C3165209	"Hypoalphalipoproteinemia, Familial"	High density lipoprotein deficiency	1004	119	77											
C0020074	C0085584	HSAN Type IV	Encephalopathies	2026	600000	77											
C0949857	C3554129	Mitochondrial Respiratory Chain Deficiencies	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 13	37983	82	77											
C0410189	C0686353	"Muscular Dystrophy, Emery-Dreifuss"	"Muscular Dystrophies, Limb-Girdle"	721	1891	77											
C0020678	C0024623	Hypotrichosis	Malignant neoplasm of stomach	13599	103330	77											
C2675188	C4016670	Kallmann Syndrome 6	HYPOGONADOTROPIC HYPOGONADISM 6 WITH ANOSMIA	172	111	77											
C0018133	C0027726	Graft-vs-Host Disease	Nephrotic Syndrome	23684	21763	77											
C0020459	C1563715	Hyperinsulinism	Andersen Syndrome	81647	1329	76											
C0041341	C1854465	Tuberous Sclerosis	TUBEROUS SCLEROSIS 1	9017	76	76											
C0339526	C0339527	Autosomal recessive retinitis pigmentosa	Leber Congenital Amaurosis	1150	931	76											
C0024591	C0027125	Malignant hyperpyrexia due to anesthesia	Myotonia	6029	3315	76											
C0002895	C2720293	"Anemia, Sickle Cell"	"MALARIA, RESISTANCE TO"	22645	12431	76											
C0020492	C0029454	Hyperostosis	Osteopetrosis	8425	3269	76											
C0003486	C4016056	Aortic Aneurysm	"MARFAN SYNDROME, MILD"	60865	203	76											
C0473527	C3165209	Hypoalphalipoproteinemias	High density lipoprotein deficiency	956	119	76											
C1561643	C1563705	Chronic Kidney Diseases	"Nephrogenic Diabetes Insipidus, Type I"	133158	1510	76											
C0162283	C1561643	Nephrogenic Diabetes Insipidus	Chronic Kidney Diseases	1510	133158	76											
C0009402	C0021359	Colorectal Carcinoma	Infertility	201452	89090	76											
C0025202	C1848435	melanoma	"WOOLLY HAIR, AUTOSOMAL RECESSIVE 1, WITH OR WITHOUT HYPOTRICHOSIS"	122636	13600	76											
C0242383	C0339527	Age related macular degeneration	Leber Congenital Amaurosis	29421	931	76											
C0035334	C0687120	Retinitis Pigmentosa	Nephronophthisis	10816	745	76											
C0009402	C0031511	Colorectal Carcinoma	Pheochromocytoma	201452	21435	76											
C3495427	C3536827	Fanconi-Bickel Syndrome	Glycogenosis with glucoaminophosphaturia	3262	6868	75											
C0149841	C0268312	Benign recurrent intrahepatic cholestasis	Progressive intrahepatic cholestasis	242	1170	75											
C4311029	C4311036	HEMOGLOBIN YUKUHASHI-2	HEMOGLOBIN BEILINSON	196933	75	75											
C0007115	C1168401	Malignant neoplasm of thyroid	Squamous cell carcinoma of the head and neck	67377	7214	75											
C0000768	C0751882	Congenital Abnormality	"Myasthenic Syndromes, Congenital"	591498	621	75											
C2697933	C3898580	Loeys-Dietz Syndrome Type 1	Loeys-Dietz Syndrome Type 2	117	98	75											
C0005684	C0346300	Malignant neoplasm of urinary bladder	Pituitary carcinoma	59248	35065	75											
C3150659	C3280345	"BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 3"	"BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 4"	158	153	75											
C0009691	C3888098	Congenital cataract	"Cataract, Autosomal Recessive Congenital 1"	4934	75	75											
C0085584	C3711381	Encephalopathies	Hereditary Diffuse Leukoencephalopathy with Spheroids	600000	83	75											
C0018553	C3151356	"Hamartoma Syndrome, Multiple"	"MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION"	1768	112283	75											
C0238157	C1567742	Benign hematuria	"Alport Syndrome, X-Linked"	1429	2064	74											
C0349788	C1864850	Arrhythmogenic Right Ventricular Dysplasia	"Arrhythmogenic Right Ventricular Dysplasia, Familial, 11"	2509	74	74											
C0079294	C0079301	Epidermolysis Bullosa Dystrophica	Junctional Epidermolysis Bullosa	1176	786	74											
C3553841	C4016875	HYPOGONADOTROPIC HYPOGONADISM 8 WITH OR WITHOUT ANOSMIA	HYPOGONADOTROPIC HYPOGONADISM 8 WITHOUT ANOSMIA	7784	74	74											
C0020608	C0162359	Hypodontia	Christ-Siemens-Touraine syndrome	4163	230	74											
C0027125	C1828221	Myotonia	Non dystrophic myotonia	3315	74	74											
C3489396	C4016875	"Hypogonadism, Isolated Hypogonadotropic"	HYPOGONADOTROPIC HYPOGONADISM 8 WITHOUT ANOSMIA	17394	74	74											
C2910227	C4314863	Multicystic kidney disease	Renal tract malformations	447	4169	74											
C0009402	C0238462	Colorectal Carcinoma	Medullary carcinoma of thyroid	201452	7190	74											
C3281201	C3714756	"MENTAL RETARDATION, AUTOSOMAL DOMINANT 12"	Intellectual Disability	121	97825	74											
C0013336	C0406735	Dwarfism	Hypoplastic enamel-onycholysis-hypohidrosis syndrome	17277	5715	74											
C0221026	C1274233	X-linked agammaglobulinemia	T-lymphocyte immunodeficiency	865	34915	74											
C1846223	C3489793	Adrenal hypoplasia	"46,XY Sex Reversal 3"	6817	4064	74											
C0023976	C2677106	Long QT Syndrome	"Atrial Fibrillation, Familial, 7"	9236	18813	74											
C0029925	C0206686	Ovarian Carcinoma	Adrenocortical carcinoma	34444	3369	74											
C0017668	C1567742	Focal glomerulosclerosis	"Alport Syndrome, X-Linked"	7182	2064	74											
C0010674	C0158981	Cystic Fibrosis	Neonatal diabetes mellitus	49380	12461	73											
C0007097	C1835398	Carcinoma	LI-FRAUMENI SYNDROME 1	600000	454	73											
C0752124	C1720416	Spinocerebellar Ataxia Type 6	Episodic ataxia type 2	6691	235	73											
C0878681	C1839874	Dent's disease	Low Molecular Weight Proteinuria with Hypercalciuria and Nephrocalcinosis	17063	81	73											
C3553844	C4016132	HYPOGONADOTROPIC HYPOGONADISM 11 WITH OR WITHOUT ANOSMIA	HYPOGONADOTROPIC HYPOGONADISM 7 WITHOUT ANOSMIA	6872	73	73											
C0158646	C1861537	Cleft palate with cleft lip	OROFACIAL CLEFT 1	15183	75	73											
C0008372	C0746102	Intrahepatic Cholestasis	Chronic lung disease	15090	127813	73											
C0020473	C4015861	Hyperlipidemia	"HYPERLIPOPROTEINEMIA, TYPE III, ASSOCIATED WITH APOE2"	77353	84	73											
C0018995	C4016103	Hemochromatosis	"HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA, SUSCEPTIBILITY TO"	10363	5965	73											
C0003850	C0024796	Arteriosclerosis	Marfan Syndrome	168968	7116	73											
C0029925	C0031269	Ovarian Carcinoma	Peutz-Jeghers Syndrome	34444	2377	73											
C0020443	C0036341	Hypercholesterolemia	Schizophrenia	42411	134381	73											
C0006142	C0543888	Malignant neoplasm of breast	Epileptic encephalopathy	309961	113136	73											
C0010674	C0020459	Cystic Fibrosis	Hyperinsulinism	49380	81647	72											
C0022595	C0085106	Keratosis Follicularis	Familial benign pemphigus	1995	549	72											
C0872218	C1697449	MITOCHONDRIAL NEUROGASTROINTESTINAL ENCEPHALOPATHY SYNDROME	Mitochondrial neurogastrointestinal encephalopathy	72	194	72											
C0349788	C1836906	Arrhythmogenic Right Ventricular Dysplasia	"Arrhythmogenic Right Ventricular Dysplasia, Familial, 9"	2509	72	72											
C3489789	C4272381	"Cholestasis, Progressive Familial Intrahepatic, 2"	progressive familial intrahepatic cholestasis type 3	302	131	72											
C0086543	C1861825	Cataract	"CATARACT, POSTERIOR POLAR, 1"	68182	72	72											
C0020492	C0241889	Hyperostosis	Family history	8425	117019	72											
C0836924	C4016267	Thrombocytosis	"THROMBOCYTHEMIA 2, SUSCEPTIBILITY TO"	7671	100	72											
C0023976	C2676723	Long QT Syndrome	JERVELL AND LANGE-NIELSEN SYNDROME 2	9236	87	72											
C1836024	C1837156	"MEPHENYTOIN, POOR METABOLISM OF"	"DEBRISOQUINE, POOR METABOLISM OF"	258	560	72											
C0023467	C1274233	"Leukemia, Myelocytic, Acute"	T-lymphocyte immunodeficiency	73162	34915	72											
C0010278	C4016473	Craniosynostosis	"HYPOAGAMMAGLOBULINEMIA, X-LINKED"	6837	31425	72											
C2674173	C3714756	"Achondroplasia, Severe, With Developmental Delay And Acanthosis Nigricans"	Intellectual Disability	2697	97825	72											
C0238339	C1969419	Hereditary pancreatitis	"PANCREATITIS, CHRONIC, SUSCEPTIBILITY TO"	522	510	72											
C1631597	C3554047	"VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 1"	"VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 4"	282	204	72											
C0011265	C0017495	Presenile dementia	Gerstmann-Straussler-Scheinker Disease	98853	649	72											
C0393484	C0751122	Rasmussen Syndrome	Infantile Severe Myoclonic Epilepsy	63615	4923	72											
C0001080	C3714756	Achondroplasia	Intellectual Disability	2697	97825	72											
C0030567	C0242379	Parkinson Disease	Malignant neoplasm of lung	73702	261819	72											
C0158981	C1833104	Neonatal diabetes mellitus	"DIABETES MELLITUS, PERMANENT NEONATAL"	12461	71	71											
C1850808	C2931687	Miyoshi myopathy	Dysferlinopathy	215	254	71											
C0234166	C1835614	Hyperexplexia	Hereditary Hyperexplexia	384	71	71											
C0017662	C2931788	"Glomerulonephritis, Membranoproliferative"	Atypical Hemolytic Uremic Syndrome	3840	1304	71											
C0268743	C2931788	"Membranoproliferative Glomerulonephritis, Type II"	Atypical Hemolytic Uremic Syndrome	3840	1304	71											
C0011849	C1833104	Diabetes Mellitus	"DIABETES MELLITUS, PERMANENT NEONATAL"	454011	71	71											
C0023976	C1631597	Long QT Syndrome	"VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 1"	9236	282	71											
C0027126	C0752124	Myotonic Dystrophy	Spinocerebellar Ataxia Type 6	6483	6691	71											
C0020492	C1866080	Hyperostosis	HIGH BONE MASS	8425	23483	71											
C0032461	C3841475	Polycythemia	beta^+^ Thalassemia	14175	14284	71											
C0015530	C2750481	Factor XIII Deficiency	"Factor XIII, B Subunit, Deficiency Of"	960	71	71											
C0027708	C4228353	Nephroblastoma	Cardiac malformations	12539	168650	71											
C0005283	C0032461	beta Thalassemia	Polycythemia	14284	14175	71											
C0079744	C0085110	Diffuse Large B-Cell Lymphoma	Severe Combined Immunodeficiency	24275	7990	71											
C0011847	C1833104	Diabetes	"DIABETES MELLITUS, PERMANENT NEONATAL"	600000	71	71											
C0002395	C0019202	Alzheimer's Disease	Hepatolenticular Degeneration	139725	5625	71											
C0020217	C3463897	Hydatidiform Mole	"HYDATIDIFORM MOLE, RECURRENT, 1"	5525	70	70											
C0031485	C2676533	Phenylketonurias	"HYPERPHENYLALANINEMIA, NON-PKU"	6679	74	70											
C0751435	C2676533	Hyperphenylalaninaemia	"HYPERPHENYLALANINEMIA, NON-PKU"	6755	74	70											
C0007193	C0686353	"Cardiomyopathy, Dilated"	"Muscular Dystrophies, Limb-Girdle"	21868	1891	70											
C0011860	C0021364	"Diabetes Mellitus, Non-Insulin-Dependent"	Male infertility	142114	45629	70											
C0079154	C3539888	Congenital Nonbullous Ichthyosiform Erythroderma	"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 3"	1097	128	70											
C0025202	C0031269	melanoma	Peutz-Jeghers Syndrome	122636	2377	70											
C0010054	C0152171	Coronary Arteriosclerosis	Idiopathic pulmonary hypertension	165082	4458	70											
C0014859	C3553943	Esophageal Neoplasms	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	53754	168719	70											
C1858438	C1858439	"COLORECTAL CANCER, SUSCEPTIBILITY TO"	"CANCER OF MULTIPLE TYPES, SUSCEPTIBILITY TO"	6432	607	70											
C0020459	C0149521	Hyperinsulinism	"Pancreatitis, Chronic"	81647	20064	70											
C0007102	C0018553	Malignant tumor of colon	"Hamartoma Syndrome, Multiple"	85229	1768	70											
C0752166	C2673873	Bardet-Biedl Syndrome	BARDET-BIEDL SYNDROME 13	1122	70	70											
C0026846	C0410189	Muscular Atrophy	"Muscular Dystrophy, Emery-Dreifuss"	22052	721	70											
